"id","repellant","gear"
1,"Yes","None"
2,"No","Socks and long-sleeves"
3,"Yes","Socks"
4,"No","None"
5,"Yes","None"
6,"Yes","Socks and long-sleeves"
7,"No","Socks"
8,"Yes","Socks"
9,"Yes","Socks"
10,"Yes","Socks"
11,"No","None"
12,"No","Socks and long-sleeves"
13,"No","None"
14,"Yes","Socks"
15,"Yes","None"
16,"Yes","Socks"
17,"No","Socks and long-sleeves"
18,"Yes","Socks and long-sleeves"
19,"Yes","Socks"
20,"Yes","Socks and long-sleeves"
21,"Yes","None"
22,"Yes","None"
23,"Yes","Socks"
24,"Yes","Socks and long-sleeves"
25,"No","Socks and long-sleeves"
26,"No","Socks and long-sleeves"
27,"No","Socks and long-sleeves"
28,"No","Socks and long-sleeves"
29,"No","Socks and long-sleeves"
30,"Yes","Socks"
31,"No","Socks"
32,"Yes","Socks"
33,"No","None"
34,"No","None"
35,"No","Socks"
36,"No","None"
37,"Yes","Socks"
38,"Yes","None"
39,"No","Socks and long-sleeves"
40,"No","Socks and long-sleeves"
41,"No","Socks and long-sleeves"
42,"Yes","Socks and long-sleeves"
43,"No","Socks and long-sleeves"
44,"Yes","Socks and long-sleeves"
45,"Yes","Socks"
46,"Yes","Socks and long-sleeves"
47,"Yes","Socks and long-sleeves"
48,"No","Socks and long-sleeves"
49,"No","Socks"
50,"No","Socks and long-sleeves"
51,"Yes","Socks and long-sleeves"
52,"Yes","None"
53,"No","Socks and long-sleeves"
54,"No","None"
55,"No","None"
56,"No","Socks"
57,"No","Socks and long-sleeves"
58,"No","None"
59,"Yes","Socks and long-sleeves"
60,"Yes","Socks and long-sleeves"
61,"No","Socks"
62,"No","None"
63,"Yes","Socks and long-sleeves"
64,"No","Socks and long-sleeves"
65,"No","Socks"
66,"No","Socks and long-sleeves"
67,"No","Socks and long-sleeves"
68,"No","None"
69,"No","Socks and long-sleeves"
70,"No","Socks and long-sleeves"
71,"No","None"
72,"No","Socks and long-sleeves"
73,"No","None"
74,"No","Socks and long-sleeves"
75,"No","Socks"
76,"No","Socks and long-sleeves"
77,"Yes","Socks and long-sleeves"
78,"No","Socks and long-sleeves"
79,"No","Socks and long-sleeves"
80,"Yes","Socks and long-sleeves"
81,"No","Socks"
82,"No","None"
83,"No","Socks"
84,"No","Socks"
85,"Yes","Socks"
86,"Yes","Socks and long-sleeves"
87,"No","Socks"
88,"Yes","Socks and long-sleeves"
89,"Yes","None"
90,"Yes","None"
91,"Yes","None"
92,"Yes","Socks and long-sleeves"
93,"Yes","Socks and long-sleeves"
94,"Yes","None"
95,"Yes","Socks and long-sleeves"
96,"No","Socks"
97,"No","Socks and long-sleeves"
98,"Yes","Socks and long-sleeves"
99,"No","Socks"
100,"Yes","Socks"
101,"Yes","None"
102,"Yes","Socks and long-sleeves"
103,"No","Socks and long-sleeves"
104,"No","Socks and long-sleeves"
105,"Yes","Socks and long-sleeves"
106,"No","Socks and long-sleeves"
107,"No","None"
108,"Yes","Socks"
109,"No","Socks and long-sleeves"
110,"Yes","None"
111,"Yes","Socks and long-sleeves"
112,"No","Socks and long-sleeves"
113,"Yes","None"
114,"No","Socks"
115,"No","Socks and long-sleeves"
116,"No","Socks and long-sleeves"
117,"Yes","None"
118,"No","None"
119,"No","None"
120,"No","Socks"
121,"No","Socks"
122,"No","Socks and long-sleeves"
123,"No","None"
124,"Yes","Socks and long-sleeves"
125,"Yes","Socks"
126,"Yes","Socks and long-sleeves"
127,"Yes","Socks and long-sleeves"
128,"Yes","Socks and long-sleeves"
129,"No","Socks and long-sleeves"
130,"Yes","Socks and long-sleeves"
131,"Yes","Socks and long-sleeves"
132,"No","Socks"
133,"Yes","None"
134,"Yes","Socks"
135,"No","None"
136,"Yes","Socks"
137,"Yes","None"
138,"Yes","Socks and long-sleeves"
139,"No","Socks"
140,"Yes","None"
141,"No","Socks"
142,"Yes","None"
143,"No","Socks and long-sleeves"
144,"Yes","Socks and long-sleeves"
145,"No","Socks and long-sleeves"
146,"Yes","Socks and long-sleeves"
147,"Yes","Socks and long-sleeves"
148,"No","Socks and long-sleeves"
149,"No","Socks and long-sleeves"
150,"No","None"
151,"No","None"
152,"Yes","Socks and long-sleeves"
153,"No","Socks and long-sleeves"
154,"No","None"
155,"Yes","None"
156,"No","Socks and long-sleeves"
157,"No","Socks"
158,"Yes","Socks and long-sleeves"
159,"No","Socks and long-sleeves"
160,"Yes","Socks and long-sleeves"
161,"Yes","None"
162,"No","Socks and long-sleeves"
163,"Yes","Socks"
164,"Yes","Socks and long-sleeves"
165,"No","Socks and long-sleeves"
166,"Yes","Socks and long-sleeves"
167,"No","Socks and long-sleeves"
168,"No","Socks and long-sleeves"
169,"No","Socks and long-sleeves"
170,"No","None"
171,"No","Socks and long-sleeves"
172,"Yes","Socks and long-sleeves"
173,"No","Socks"
174,"Yes","None"
175,"Yes","None"
176,"Yes","Socks and long-sleeves"
177,"Yes","Socks and long-sleeves"
178,"Yes","None"
179,"Yes","None"
180,"Yes","None"
181,"Yes","Socks and long-sleeves"
182,"Yes","None"
183,"No","Socks and long-sleeves"
184,"No","Socks and long-sleeves"
185,"Yes","Socks and long-sleeves"
186,"Yes","None"
187,"Yes","None"
188,"Yes","Socks and long-sleeves"
189,"No","Socks and long-sleeves"
190,"No","None"
191,"Yes","Socks and long-sleeves"
192,"No","None"
193,"Yes","Socks and long-sleeves"
194,"No","Socks and long-sleeves"
195,"Yes","Socks and long-sleeves"
196,"Yes","Socks and long-sleeves"
197,"Yes","None"
198,"Yes","Socks and long-sleeves"
199,"Yes","None"
200,"Yes","None"
