CFSAUID,moose
G0A,4.9
G0C,4
G0E,3.9
G0G,3.8
G0H,3.1
G0J,3.9
G0K,3.4
G0L,3.8
G0M,4.4
G0N,4.5
G0P,4
G0R,2.4
G0S,4.9
G0T,3.5
G0V,3.8
G0W,3.5
G0X,3.3
G0Y,4.4
G0Z,3.9
G1B,2.9
G1C,3.7
G1E,3.8
G1G,3.9
G1H,3.5
G1J,3.1
G1K,4.7
G1L,4.7
G1M,3.3
G1N,3.3
G1P,4.2
G1R,3.9
G1S,4.3
G1T,4
G1V,4.2
G1W,3.6
G1X,4.4
G1Y,3.4
G2A,4.2
G2B,4.9
G2C,4.4
G2E,4.3
G2G,3.2
G2J,4.6
G2K,3.6
G2L,3.7
G2M,3.6
G2N,4.6
G3A,4.3
G3B,3.7
G3C,3.7
G3E,4.5
G3G,2.8
G3H,3.1
G3J,4.2
G3K,3.7
G3L,4.2
G3M,4.4
G3N,4.4
G3Z,3.4
G4A,4.1
G4R,4
G4S,4.3
G4T,3.7
G4V,3.4
G4W,3.9
G4X,3.1
G4Z,3.8
G5A,3.2
G5B,3.8
G5C,4.4
G5H,3.7
G5J,4.1
G5L,3.6
G5M,3.7
G5N,4.5
G5R,3.9
G5T,4.8
G5V,3.6
G5X,3.7
G5Y,3.8
G5Z,4.1
G6A,4.3
G6B,4
G6C,4.5
G6E,3.7
G6G,3.7
G6H,3.3
G6J,4
G6K,4.2
G6L,4.5
G6P,4.6
G6R,4
G6S,4.7
G6T,3.9
G6V,3
G6W,4.1
G6X,4.4
G6Z,4.2
G7A,4.3
G7B,3.7
G7G,4.1
G7H,3.5
G7J,3.9
G7K,3.6
G7N,4.1
G7P,4.4
G7S,3.7
G7T,4.1
G7X,4.3
G7Y,3.7
G7Z,5.3
G8A,5.5
G8B,4.4
G8C,4.2
G8E,3.7
G8G,3.7
G8H,4.3
G8J,3.8
G8K,4
G8L,3.6
G8M,4.6
G8N,4.1
G8P,3.2
G8T,3.6
G8V,3.7
G8W,4.3
G8Y,4.3
G8Z,4.2
G9A,3.6
G9B,4.8
G9C,3.1
G9H,4.8
G9N,4.2
G9P,4
G9R,4.4
G9T,3.3
G9X,4.1
H1A,3.8
H1B,3.4
H1C,4.2
H1E,3.8
H1G,4.2
H1H,4.1
H1J,3.5
H1K,4
H1L,4.1
H1M,4.7
H1N,5
H1P,4.9
H1R,3.9
H1S,3.6
H1T,4.6
H1V,5
H1W,3.9
H1X,4.5
H1Y,4.2
H1Z,3.2
H2A,4.4
H2B,4
H2C,4.6
H2E,3.8
H2G,4.2
H2H,4.5
H2J,4
H2K,4.2
H2L,3.8
H2M,3.6
H2N,3.4
H2P,4.2
H2R,3.9
H2S,3.9
H2T,4.3
H2V,4
H2W,4.4
H2X,4.6
H2Y,3.1
H2Z,3.8
H3A,3.3
H3B,2.9
H3C,4.1
H3E,4.7
H3G,4.1
H3H,3.9
H3J,3.6
H3K,3.5
H3L,3.8
H3M,4.2
H3N,3.6
H3P,3.8
H3R,3.2
H3S,3.8
H3T,4.1
H3V,4.4
H3W,3.8
H3X,3.5
H3Y,4.8
H3Z,4.2
H4A,4.2
H4B,3.7
H4C,3.8
H4E,4.3
H4G,5.1
H4H,3.3
H4J,4.7
H4K,5.1
H4L,4.1
H4M,3.4
H4N,3.7
H4P,4.2
H4R,4
H4S,4.7
H4T,4.6
H4V,4.3
H4W,3.8
H4X,3
H4Z,3.6
H5A,3.7
H7A,2.9
H7B,3.5
H7C,3.5
H7E,3.1
H7G,3.7
H7H,4.1
H7J,4.3
H7K,4.6
H7L,5.5
H7M,3.1
H7N,4.1
H7P,3.2
H7R,4.1
H7S,3.5
H7T,4.5
H7V,4.4
H7W,3.5
H7X,4
H7Y,3.3
H8N,4.4
H8P,3.5
H8R,4.3
