Mi,Ma,Ga
47,38,1
17,10,1
16,10,1
9,5,1
10,1,1
3,7,1
4,15,1
48,49,2
8,10,2
13,13,2
8,8,2
3,6,2
5,0,2
15,6,2
53,35,3
11,11,3
13,16,3
5,16,3
1,4,3
5,0,3
9,12,3
37,43,4
22,18,4
16,13,4
17,14,4
0,0,4
0,0,4
9,9,4
35,47,5
11,10,5
16,13,5
11,5,5
0,2,5
4,9,5
6,12,5
55,48,6
8,10,6
13,16,6
17,21,6
3,7,6
6,1,6
9,12,6
43,61,7
6,12,7
16,12,7
7,10,7
3,1,7
1,3,7
6,15,7
42,41,8
6,24,8
16,16,8
3,7,8
0,0,8
9,1,8
9,12,8
43,36,9
8,8,9
13,16,9
4,8,9
4,10,9
6,2,9
12,9,9
52,43,10
6,14,10
13,18,10
10,17,10
2,3,10
15,4,10
12,6,10
51,51,11
16,11,11
13,16,11
3,3,11
0,0,11
4,4,11
9,9,11
55,40,12
11,14,12
13,16,12
2,14,12
2,3,12
5,2,12
9,9,12
50,51,13
12,14,13
13,19,13
10,12,13
0,0,13
0,8,13
12,9,13
47,40,14
14,23,14
16,13,14
9,6,14
1,4,14
2,2,14
12,7,14
58,49,15
12,10,15
16,13,15
6,3,15
2,0,15
12,3,15
6,15,15
52,35,16
22,6,16
9,22,16
0,12,16
3,4,16
6,7,16
7,12,16
35,53,17
7,10,17
13,15,17
6,4,17
5,0,17
2,0,17
7,12,17
45,37,18
16,10,18
10,13,18
13,10,18
3,0,18
3,18,18
9,12,18
56,60,19
13,9,19
16,13,19
11,1,19
2,5,19
5,2,19
12,9,19
43,56,20
14,5,20
16,13,20
1,1,20
0,3,20
11,2,20
12,9,20
50,42,21
14,10,21
13,19,21
5,9,21
0,4,21
1,8,21
15,6,21
48,42,22
6,7,22
13,13,22
18,17,22
1,1,22
6,3,22
9,12,23
41,47,23
7,14,23
15,16,23
12,11,23
0,0,23
13,6,23
6,15,24
54,48,24
14,14,24
16,16,24
4,2,24
0,1,24
2,5,24
12,9,24
42,43,25
11,7,25
13,19,25
4,14,25
0,1,25
8,1,25
9,12,25
54,42,26
16,8,26
13,16,26
16,16,26
0,1,26
6,1,26
9,12,26
42,40,27
13,18,27
22,10,27
5,8,27
5,1,27
6,3,27
12,7,27
48,45,28
7,16,28
12,16,28
13,14,28
0,2,28
9,7,28
9,6,28
55,43,29
13,13,29
19,13,29
4,12,29
0,0,29
5,6,29
9,12,29
40,51,30
11,9,30
13,13,30
5,7,30
1,2,30
16,1,30
9,12,30
58,34,31
10,7,31
11,19,31
4,14,31
0,0,31
5,5,31
12,9,31
49,54,32
10,18,32
11,13,32
8,6,32
1,0,32
0,4,32
12,9,32
39,46,33
6,14,33
13,19,33
3,5,33
10,1,33
7,3,33
12,9,33
39,50,34
17,8,34
13,19,34
7,15,34
4,0,34
2,0,34
6,6,34
54,51,35
12,10,35
16,14,35
9,12,35
