,obs_number,y,x1,x2,x3,x4,x5,x6,x7,x8
1,1,40.13722226,32.15939704,-2.219811254,0.583476078,0,12.32213708,2.470627048,15.74099947,0
2,2,50.0939191,44.88346659,-7.084687329,-7.128548259,0,5.557316361,-1.676652844,8.90098696,1
3,3,48.51802016,42.62849614,6.507051783,4.904052816,0,9.335143166,-4.109667563,27.73529211,0
4,4,71.88191029,5.569931748,-5.650456916,1.717988647,0,18.81160517,15.78357067,27.91279789,1
5,5,45.00574317,1.973623387,-7.468638844,3.534729834,0,23.56173398,-1.134757251,21.70717886,1
6,6,34.80525077,26.97962027,9.393829065,6.82455339,0,18.99471398,8.467440853,6.792504767,1
7,7,38.6359183,0.190596411,5.759753794,-1.994443763,0,24.39166452,-2.925545438,16.4066872,0
8,8,44.25608313,46.13430375,-0.191314528,-3.348435176,0,12.89870043,11.62372493,17.96687487,0
9,9,57.645408,17.92384703,3.411715594,4.165302666,0,8.90182759,14.35708238,27.29539514,1
10,10,54.53971346,24.0453166,9.659092673,2.860489234,0,7.599628094,16.8315663,20.75885558,1
11,11,48.67234049,0.969634007,4.494498353,-2.164498896,0,11.37198139,-1.001662459,16.51392603,1
12,12,59.08318811,40.01062824,5.114773558,9.926402542,0,20.10188647,9.237756754,30.77611039,1
13,13,53.5127062,28.29742272,4.567861888,-0.354957446,0,19.73396554,19.68142899,19.78117633,0
14,14,37.8245447,9.41213757,4.367669569,0.990979509,0,19.3489337,-1.713842743,30.64727412,0
15,15,31.64234137,36.16324533,1.078212378,-4.792066167,0,9.401498811,-4.456113786,23.17712773,0
16,16,53.44612041,23.4008995,-8.109543356,-4.208431499,0,4.666302318,8.549676887,31.94992418,0
17,17,60.11350847,6.306432444,-4.19807151,-0.835713328,0,22.01422523,16.63614,37.98586706,0
18,18,31.92860676,11.77421638,9.014874073,-6.342978188,0,15.38707704,11.07042388,10.86905734,0
19,19,49.59697608,3.722725878,-8.548841388,-1.018061643,1,22.18134886,11.12802768,25.53906119,0
20,20,44.46995451,16.1749523,-3.96465295,-5.312759497,1,21.81546121,-2.90593381,25.47749288,1
21,21,52.06170873,19.66295637,5.885008276,0.829238718,0,13.51768283,9.473491261,29.90190892,0
22,22,29.69703708,48.57776155,6.229016101,-4.743785272,0,5.747354002,13.69350521,0.514830474,1
23,23,46.83814558,42.64325973,6.082642269,3.472448483,1,24.25789515,19.19533026,10.2208866,0
24,24,44.34171371,6.729451322,4.655084116,8.743371817,1,20.40558016,3.561424707,19.09584851,1
25,25,35.59910189,49.68404579,-5.760464282,-1.627979943,1,20.85754496,-1.269737638,19.44459688,0
26,26,35.56475072,49.23489062,-2.187469876,-1.533212935,1,2.356659377,3.706304961,16.56795125,0
27,27,44.58479614,31.78110025,-1.968349284,4.035601486,0,17.18014101,15.0302708,17.25938422,1
28,28,54.00558539,40.80068009,-2.436159626,-3.931753388,0,14.44628733,11.47642603,21.64225262,1
29,29,47.1816067,17.49596742,5.672537191,-1.86602796,0,14.91070614,11.08171373,16.80975821,0
30,30,44.60238747,16.55621376,-1.444090661,-3.098270641,0,22.49100409,15.36201608,26.46545811,0
31,31,41.23820564,5.670406215,2.458047797,-8.811039679,0,11.49232634,12.83342356,24.24460078,0
32,32,55.09790454,16.31461619,-4.215030819,6.314847758,0,16.95600958,12.9761364,34.22293445,0
33,33,43.9652983,49.98749688,3.865527073,0.821836381,1,9.253135015,8.757822168,19.05598084,1
34,34,48.58574019,43.251769,7.223829408,-7.696770306,0,14.70079445,-2.807621147,22.38390633,1
35,35,61.40226365,24.6928249,-6.967375618,3.380599984,0,2.290885831,13.57028131,30.59182029,1
36,36,56.06316769,5.035252986,-7.70529558,-3.669780032,0,15.38737805,19.72383748,24.19892036,0
37,37,38.12651945,27.71817548,2.284667538,-4.338924478,0,7.612061856,10.28470629,5.684051087,1
38,38,21.49707223,14.62336309,-8.448396493,3.853462552,0,1.765598991,2.813631441,4.409928328,0
39,39,53.97911795,3.233077924,-2.485991744,2.185142944,0,23.68119831,8.440627797,13.44930491,1
40,40,22.70614164,46.38337132,-2.069808063,0.780636468,0,6.892499496,11.6944687,-10.32443318,0
41,41,39.72379104,41.63301555,8.084861808,-1.640980622,0,10.903223,9.572217653,13.98991964,0
