,survey_date,province,flavour_vanilla,flavour_strawberry,flavour_sesame,flavour_chocolate,flavour_pistachio,flavour_cookiesncream,flavour_hazelnut,flavour_greentea
1,25/11/2013,Quebec,1,1,1,0,0,1,1,1
2,29/06/2018,Ontario,1,1,1,0,0,1,1,1
3,06/03/2015,Quebec,1,1,1,0,1,0,0,1
4,28/05/2017,British Columbia,1,1,0,0,1,1,1,0
5,18/08/2016,Ontario,1,1,1,0,1,1,1,1
6,11/12/2015,British Columbia,1,0,0,0,0,1,0,0
7,10/02/2015,Northwest Territories,1,0,0,0,1,1,0,0
8,11/05/2016,Ontario,1,0,1,0,0,0,0,1
9,27/08/2015,Ontario,1,1,1,0,1,1,0,0
10,26/03/2018,British Columbia,1,1,1,0,1,1,1,1
11,11/08/2016,British Columbia,1,1,1,0,0,0,1,1
12,04/12/2017,Northwest Territories,1,0,1,0,0,0,0,0
13,12/02/2016,British Columbia,1,1,1,0,1,1,1,1
14,14/01/2016,Ontario,1,1,0,0,1,1,1,0
15,05/07/2016,Quebec,1,1,0,0,0,1,1,1
16,20/12/2017,British Columbia,1,1,1,0,0,0,1,1
17,13/11/2014,Quebec,1,0,1,0,0,0,0,1
18,10/07/2015,British Columbia,1,0,1,0,1,1,1,1
19,21/06/2016,Quebec,0,1,1,0,1,0,0,0
20,30/11/2015,Quebec,1,1,1,0,1,0,0,0
21,15/07/2016,Quebec,1,1,1,0,0,0,1,1
22,14/04/2017,Ontario,1,1,1,0,0,0,0,1
23,15/04/2016,Ontario,1,1,1,0,0,1,1,1
24,22/06/2016,Quebec,1,1,0,0,0,0,1,1
25,09/05/2017,Quebec,1,0,0,0,1,0,0,0
26,29/05/2018,Quebec,1,0,0,0,0,1,0,0
27,04/11/2014,Northwest Territories,1,0,0,0,1,0,0,0
28,04/03/2016,Quebec,1,0,1,0,1,0,1,1
29,26/04/2016,Ontario,1,1,1,0,0,0,1,1
30,19/08/2015,Quebec,1,0,1,0,0,0,0,1
31,11/02/2016,British Columbia,1,1,1,0,1,1,1,1
32,20/07/2015,Northwest Territories,1,0,1,0,1,NA,NA,NA
33,11/07/2017,Quebec,1,0,1,0,0,0,1,1
34,04/08/2015,Ontario,1,1,1,0,1,0,1,1
35,19/09/2016,Quebec,0,1,1,0,0,1,1,1
36,31/07/2015,Northwest Territories,1,1,1,0,1,0,1,0
37,10/12/2018,Quebec,1,1,1,0,0,0,0,1
38,27/10/2015,Quebec,1,0,1,0,0,0,1,1
39,08/01/2019,Quebec,1,1,1,0,1,0,1,1
40,15/12/2015,Quebec,1,0,0,1,0,1,1,1
41,25/01/2016,British Columbia,1,1,1,0,0,0,0,1
42,08/03/2016,Quebec,1,1,1,0,1,0,1,1
43,14/07/2016,British Columbia,1,1,1,0,0,1,0,1
44,30/05/2018,Quebec,1,1,1,0,0,0,0,1
45,27/03/2019,British Columbia,1,1,1,0,1,1,1,1
46,30/10/2015,Northwest Territories,1,NA,1,0,1,0,NA,0
47,22/08/2016,Quebec,1,0,1,0,1,0,1,1
48,31/08/2015,Quebec,1,1,1,0,0,1,1,1
49,10/01/2017,Ontario,1,1,1,0,0,1,1,1
50,18/08/2015,Quebec,1,1,1,0,1,0,0,1
51,22/08/2016,Saskatchewan,1,1,1,0,0,0,0,1
52,04/06/2015,Northwest Territories,1,1,0,0,1,0,0,1
53,31/03/2015,Quebec,1,1,1,0,0,0,1,0
54,11/09/2015,Quebec,1,1,1,0,1,0,1,1
55,14/01/2015,Ontario,1,1,0,0,1,1,0,0
56,15/10/2018,Ontario,1,0,0,0,0,1,1,1
57,10/12/2014,Northwest Territories,1,0,1,0,1,1,0,0
58,15/02/2019,British Columbia,1,1,1,0,1,0,1,1
59,12/01/2017,Quebec,1,1,1,0,1,0,1,1
60,18/09/2014,Quebec,1,1,0,0,1,1,0,1
61,17/04/2015,British Columbia,1,0,1,0,1,0,0,1
62,16/03/2015,Northwest Territories,1,0,1,0,1,0,0,0
63,01/06/2017,Quebec,1,0,0,0,0,1,0,0
64,01/07/2016,British Columbia,1,0,1,0,0,1,0,1
65,23/09/2015,British Columbia,1,1,0,0,1,1,1,1
